type,price,pnl,time
close_sell,1.17058,0.24000000000024005,2025-10-06 18:45:00
open_buy,1.17058,,2025-10-06 18:45:00
close_buy,1.17045,-0.22000000000010897,2025-10-07 04:15:00
open_sell,1.17045,,2025-10-07 04:15:00
close_sell,1.16512,0.39999999999995595,2025-10-07 22:15:00
open_buy,1.16512,,2025-10-07 22:15:00
close_buy,1.16514,0.34000000000000696,2025-10-07 23:00:00
open_sell,1.16514,,2025-10-07 23:00:00
close_sell,1.16347,-0.05999999999994898,2025-10-08 15:15:00
open_buy,1.16347,,2025-10-08 15:15:00
close_buy,1.16052,0.140000000000029,2025-10-08 20:15:00
open_sell,1.16052,,2025-10-08 20:15:00
close_sell,1.16329,-0.09999999999976693,2025-10-09 01:45:00
open_buy,1.16329,,2025-10-09 01:45:00
close_buy,1.16113,0.17999999999984695,2025-10-09 11:00:00
open_sell,1.16113,,2025-10-09 11:00:00
close_sell,1.15692,-1.3999999999998458,2025-10-10 05:00:00
open_buy,1.15692,,2025-10-10 05:00:00
close_buy,1.15666,0.16000000000016001,2025-10-10 16:30:00
open_sell,1.15666,,2025-10-10 16:30:00
close_sell,1.16263,-3.800000000000026,2025-10-10 18:15:00
open_buy,1.16263,,2025-10-10 18:15:00
close_buy,1.15943,1.8799999999998818,2025-10-13 12:00:00
open_sell,1.15943,,2025-10-13 12:00:00
close_sell,1.15853,-0.6800000000000139,2025-10-14 07:15:00
open_buy,1.15853,,2025-10-14 07:15:00
close_buy,1.15602,0.39999999999995595,2025-10-14 12:15:00
open_sell,1.15602,,2025-10-14 12:15:00
close_sell,1.1593,-0.7399999999999629,2025-10-14 18:30:00
open_buy,1.1593,,2025-10-14 18:30:00
close_buy,1.16268,0.03999999999981796,2025-10-15 16:45:00
open_sell,1.16268,,2025-10-15 16:45:00
close_sell,1.16288,0.08000000000008001,2025-10-15 20:45:00
open_buy,1.16288,,2025-10-15 20:45:00
close_buy,1.16578,-0.280000000000058,2025-10-16 12:45:00
open_sell,1.16578,,2025-10-16 12:45:00
close_sell,1.16759,0.12000000000034204,2025-10-16 18:00:00
open_buy,1.16759,,2025-10-16 18:00:00
close_buy,1.16891,-1.40000000000029,2025-10-17 13:45:00
open_sell,1.16891,,2025-10-17 13:45:00
close_sell,1.1671,-0.11999999999989797,2025-10-20 07:45:00
open_buy,1.1671,,2025-10-20 07:45:00
close_buy,1.16535,-0.7399999999999629,2025-10-20 13:15:00
open_sell,1.16535,,2025-10-20 13:15:00
close_sell,1.16075,-0.5399999999999849,2025-10-22 06:30:00
